,sentence,tokens,labels
0,use instead foundation .,"['use', 'instead', 'foundation', '.']","['O', 'O', 'B_PT', 'O']"
1,like high spf feels really good put dries matte finish smooth like skin .,"['like', 'high', 'spf', 'feels', 'really', 'good', 'put', 'dries', 'matte', 'finish', 'smooth', 'like', 'skin', '.']","['O', 'B-EF-POS', 'I-EF-POS', 'O', 'O', 'O', 'O', 'O', 'B-AP-POS', 'I-AP-POS', 'B-TX-POS', 'O', 'B_BP', 'O']"
2,think face better condition since using .,"['think', 'face', 'better', 'condition', 'since', 'using', '.']","['O', 'B_BP', 'O', 'O', 'O', 'O', 'O']"
3,downside shade range lightest still slightly darker natural color not deal breaker .,"['downside', 'shade', 'range', 'lightest', 'still', 'slightly', 'darker', 'natural', 'color', 'not', 'deal', 'breaker', '.']","['O', 'B-VP-NEG', 'I-VP-NEG', 'I-VP-NEG', 'O', 'B-AP-NEG', 'I-AP-NEG', 'O', 'O', 'O', 'O', 'O', 'O']"
4,probably gives little color .,"['probably', 'gives', 'little', 'color', '.']","['O', 'O', 'O', 'B-AP-POS', 'O']"
5,also keeps getting greasy throughout day cool im really oily .,"['also', 'keeps', 'getting', 'greasy', 'throughout', 'day', 'cool', 'im', 'really', 'oily', '.']","['O', 'O', 'O', 'B-TX-NEU', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,say tint almost laughable way makes skin look great .,"['say', 'tint', 'almost', 'laughable', 'way', 'makes', 'skin', 'look', 'great', '.']","['O', 'B-AP-POS', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O']"
7,use tinted sunscreens combat white cast zinc wear daily work outside layers sunscreen matter lot cant say one helps .,"['use', 'tinted', 'sunscreens', 'combat', 'white', 'cast', 'zinc', 'wear', 'daily', 'work', 'outside', 'layers', 'sunscreen', 'matter', 'lot', 'cant', 'say', 'one', 'helps', '.']","['O', 'B_BP', 'I_BP', 'O', 'B-AP-NEG', 'I-AP-NEG', 'B_IN', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,definitely tinted not nearly enough.it add smoothed filter finish skin makes look almost pore less everyone work talking appear glowing late .,"['definitely', 'tinted', 'not', 'nearly', 'enough.it', 'add', 'smoothed', 'filter', 'finish', 'skin', 'makes', 'look', 'almost', 'pore', 'less', 'everyone', 'work', 'talking', 'appear', 'glowing', 'late', '.']","['O', 'B-AP-POS', 'O', 'O', 'O', 'O', 'B-AP-POS', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'B-VP-POS', 'I-VP-POS', 'O', 'O', 'O', 'O', 'B-AP-POS', 'O', 'O']"
9,certainly dewy finish dont like consider using powder top.its great product overall recommend no makeup makeup look almost undetectable definitely going buy run .,"['certainly', 'dewy', 'finish', 'dont', 'like', 'consider', 'using', 'powder', 'top.its', 'great', 'product', 'overall', 'recommend', 'no', 'makeup', 'makeup', 'look', 'almost', 'undetectable', 'definitely', 'going', 'buy', 'run', '.']","['O', 'B-AP-NEU', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
